player,player_id,team,season,age,attempts,completion_pct,yards_per_attempt,td_rate,int_rate,passer_rating,any_a,archetype,cluster
Josh Allen,AlleJo02,BUF,2024,28.0,483.0,63.6,7.7,5.8,1.2,101.4,7.96,Elite Quarterbacks,2
Justin Herbert,HerbJu00,LAC,2024,26.0,504.0,65.9,7.7,4.6,0.6,101.7,7.25,Elite Quarterbacks,2
Lamar Jackson,JackLa00,BAL,2024,27.0,474.0,66.7,8.8,8.6,0.8,119.6,9.38,Elite Quarterbacks,2
Sam Darnold,DarnSa00,MIN,2024,27.0,545.0,66.2,7.9,6.4,2.2,102.5,6.99,Elite Quarterbacks,2
Tua Tagovailoa,TagoTu00,MIA,2024,26.0,399.0,72.9,7.2,4.8,1.8,101.4,6.61,Elite Quarterbacks,2
Andy Dalton,DaltAn00,CAR,2024,37.0,160.0,66.3,6.2,4.4,3.8,82.0,4.92,Struggling & Backups,1
Anthony Richardson,RichAn03,IND,2024,22.0,264.0,47.7,6.9,3.0,4.5,61.6,4.74,Struggling & Backups,1
Bryce Young,YounBr01,CAR,2024,23.0,384.0,60.9,6.3,3.9,2.3,82.2,5.11,Struggling & Backups,1
Daniel Jones,JoneDa05,NYG,2024,27.0,341.0,63.3,6.1,2.3,2.1,79.4,4.71,Struggling & Backups,1
Deshaun Watson,WatsDe00,CLE,2024,29.0,216.0,63.4,5.3,2.3,1.4,79.0,3.7,Struggling & Backups,1
Drew Lock,LockDr00,NYG,2024,28.0,181.0,59.1,5.9,3.3,2.8,75.5,4.55,Struggling & Backups,1
Gardner Minshew II,MinsGa00,LVR,2024,28.0,306.0,66.3,6.6,2.9,3.3,81.0,4.71,Struggling & Backups,1
Jacoby Brissett,BrisJa00,NWE,2024,32.0,161.0,59.0,5.1,1.2,0.6,74.2,3.92,Struggling & Backups,1
Jameis Winston,WinsJa00,CLE,2024,30.0,296.0,61.1,7.2,4.4,4.1,80.6,5.35,Struggling & Backups,1
Mac Jones,JoneMa05,JAX,2024,26.0,262.0,65.3,6.4,3.1,3.1,80.5,4.97,Struggling & Backups,1
Mason Rudolph,RudoMa00,TEN,2024,29.0,228.0,64.0,6.7,3.9,3.9,80.1,5.16,Struggling & Backups,1
Spencer Rattler,RattSp00,NOR,2024,24.0,228.0,57.0,5.8,1.8,2.2,70.4,4.14,Struggling & Backups,1
Will Levis,LeviWi00,TEN,2024,25.0,301.0,63.1,6.9,4.3,4.0,81.4,4.61,Struggling & Backups,1
Aaron Rodgers,RodgAa00,NYJ,2024,41.0,584.0,63.0,6.7,4.8,1.9,90.5,5.87,The League Core,0
Aidan O'Connell,OConAi00,LVR,2024,26.0,243.0,63.4,6.6,3.3,1.6,86.7,5.97,The League Core,0
Bo Nix,NixxBo00,DEN,2024,24.0,567.0,66.3,6.7,5.1,2.1,93.3,6.12,The League Core,0
C.J. Stroud,StroCJ00,HOU,2024,23.0,532.0,63.2,7.0,3.8,2.3,87.0,5.44,The League Core,0
Caleb Williams,WillCa03,CHI,2024,23.0,562.0,62.5,6.3,3.6,1.1,87.8,5.09,The League Core,0
Cooper Rush,RushCo00,DAL,2024,31.0,308.0,60.7,6.0,3.9,1.6,83.8,5.5,The League Core,0
Dak Prescott,PresDa01,DAL,2024,31.0,286.0,64.7,6.9,3.8,2.8,86.0,5.62,The League Core,0
Drake Maye,MayeDr00,NWE,2024,22.0,338.0,66.6,6.7,4.4,3.0,88.1,5.1,The League Core,0
Geno Smith,SmitGe00,SEA,2024,34.0,578.0,70.4,7.5,3.6,2.6,93.2,5.93,The League Core,0
Joe Flacco,FlacJo00,IND,2024,39.0,248.0,65.3,7.1,4.8,2.8,90.5,5.88,The League Core,0
Justin Fields,FielJu00,PIT,2024,25.0,161.0,65.8,6.9,3.1,0.6,93.3,5.86,The League Core,0
Kirk Cousins,CousKi00,ATL,2024,36.0,453.0,66.9,7.7,4.0,3.5,88.6,6.13,The League Core,0
Kyler Murray,MurrKy00,ARI,2024,27.0,541.0,68.8,7.1,3.9,2.0,93.5,6.23,The League Core,0
Matthew Stafford,StafMa00,LAR,2024,36.0,517.0,65.8,7.3,3.9,1.5,93.7,6.59,The League Core,0
Patrick Mahomes,MahoPa00,KAN,2024,29.0,581.0,67.5,6.8,4.5,1.9,93.5,6.02,The League Core,0
Russell Wilson,WilsRu00,PIT,2024,36.0,336.0,63.7,7.4,4.8,1.5,95.6,6.39,The League Core,0
Trevor Lawrence,LawrTr00,JAX,2024,25.0,284.0,60.6,7.2,3.9,2.5,85.2,5.99,The League Core,0
