display_name,player_id,archetype,cluster,completion_pct,yards_per_attempt,td_rate,int_rate,passer_rating,attempts,archetype_rank
Tom Brady,00-0019596,Elite Quarterbacks,1,0.6538317757009345,6.990654205607477,0.049345794392523366,0.015327102803738318,95.74014081722976,2675,19.0
Drew Brees,00-0020531,Elite Quarterbacks,1,0.7239583333333334,7.709635416666667,0.06640625,0.013020833333333334,111.3240231990232,768,1.0
Eli Manning,00-0022803,The League Core,0,0.6190476190476191,7.08843537414966,0.04081632653061224,0.034013605442176874,82.63888888888889,147,21.0
Ben Roethlisberger,00-0022924,The League Core,0,0.6504534212695795,6.218466611706512,0.04534212695795548,0.016488046166529265,90.43308571661592,1213,2.0
Philip Rivers,00-0022942,Elite Quarterbacks,1,0.6693121693121693,7.746031746031746,0.04144620811287478,0.027336860670194002,92.73967944583111,1134,26.0
Alex Smith,00-0023436,The League Core,0,0.6666666666666666,6.277777777777778,0.023809523809523808,0.031746031746031744,78.50529100529101,252,33.0
Aaron Rodgers,00-0023459,Elite Quarterbacks,1,0.6646678966789668,7.431273062730627,0.06319188191881919,0.011531365313653136,104.97186901585847,2168,4.0
Ryan Fitzpatrick,00-0023682,Elite Quarterbacks,1,0.6423927178153446,7.308192457737321,0.04291287386215865,0.027308192457737322,90.5336052792575,769,29.0
Matt Ryan,00-0026143,Elite Quarterbacks,1,0.6623950508174989,7.102076889085285,0.03800265134776845,0.02209456473707468,89.92344665359381,2263,31.0
Joe Flacco,00-0026158,The League Core,0,0.6042983565107459,6.767383059418457,0.03792667509481669,0.02402022756005057,82.77967080035953,791,19.0
Matthew Stafford,00-0026498,Elite Quarterbacks,1,0.6515151515151515,7.8079322638146165,0.053475935828877004,0.022727272727272728,97.04419104704672,2244,14.0
Colt McCoy,00-0027688,The League Core,0,0.6818181818181818,5.909090909090909,0.007575757575757576,0.022727272727272728,76.57828282828282,132,35.0
Cam Newton,00-0027939,The League Core,0,0.6295546558704453,6.7631578947368425,0.024291497975708502,0.030364372469635626,73.63833894064872,494,42.0
Andy Dalton,00-0027973,The League Core,0,0.6311864406779661,6.813559322033898,0.03796610169491525,0.02711864406779661,84.41312444887656,1475,12.0
Tyrod Taylor,00-0028118,The League Core,0,0.6272727272727273,6.990909090909091,0.030303030303030304,0.024242424242424242,82.9189814814815,330,18.0
Case Keenum,00-0028986,Elite Quarterbacks,1,0.6477732793522267,6.910931174089069,0.044534412955465584,0.020242914979757085,91.27024291497975,247,28.0
Russell Wilson,00-0029263,Elite Quarterbacks,1,0.6543261231281198,7.499584026622296,0.05740432612312812,0.01788685524126456,99.37391193317949,2404,9.0
Nick Foles,00-0029567,The League Core,0,0.6503496503496503,6.032634032634032,0.030303030303030304,0.023310023310023312,82.6655982905983,429,20.0
Kirk Cousins,00-0029604,Elite Quarterbacks,1,0.673939393939394,7.663434343434344,0.05696969696969697,0.01818181818181818,102.34976629304026,2475,5.0
Ryan Tannehill,00-0029701,Elite Quarterbacks,1,0.6659471127900701,7.796546141392337,0.05180787911494873,0.021586616297895305,97.81023444947542,1853,12.0
Mike Glennon,00-0030520,Struggling & Backups,2,0.5809248554913294,5.381502890173411,0.031791907514450865,0.04335260115606936,64.92371402446503,346,3.0
Geno Smith,00-0030565,Elite Quarterbacks,1,0.6741363211951448,7.381886087768441,0.04668534080298786,0.018674136321195144,96.50210969724998,1071,15.0
Teddy Bridgewater,00-0031237,Elite Quarterbacks,1,0.6804308797127468,7.333034111310592,0.03770197486535009,0.017953321364452424,95.38776811728546,1114,21.0
Derek Carr,00-0031280,Elite Quarterbacks,1,0.6714708056171471,7.524390243902439,0.04434589800443459,0.01958610495195861,96.02871495469006,2706,17.0
Jimmy Garoppolo,00-0031345,Elite Quarterbacks,1,0.6786179921773142,8.165580182529336,0.050195567144719684,0.02803129074315515,94.76460149238106,1534,22.0
Jameis Winston,00-0031503,Elite Quarterbacks,1,0.6075388026607539,7.912416851441241,0.0565410199556541,0.04212860310421286,88.86060012744275,902,32.0
Taylor Heinicke,00-0031800,The League Core,0,0.625421822272216,6.938132733408324,0.04161979752530934,0.0281214848143982,83.39708859252202,889,16.0
Trevor Siemian,00-0032156,The League Core,0,0.5689149560117303,5.507331378299121,0.03812316715542522,0.020527859237536656,75.24582232420155,341,39.0
Marcus Mariota,00-0032268,Elite Quarterbacks,1,0.6065217391304348,7.439130434782609,0.04782608695652174,0.02391304347826087,90.22309027777777,460,30.0
Brandon Allen,00-0032434,The League Core,0,0.6338028169014085,6.514084507042254,0.035211267605633804,0.028169014084507043,82.04225352112677,142,23.0
Jeff Driskel,00-0032436,The League Core,0,0.5904761904761905,6.523809523809524,0.0380952380952381,0.0380952380952381,75.29761904761904,105,38.0
Carson Wentz,00-0032950,The League Core,0,0.6171023965141612,6.523420479302832,0.04411764705882353,0.020697167755991286,85.19584781238089,1836,7.0
Dak Prescott,00-0033077,Elite Quarterbacks,1,0.6755629691409508,7.7493744787322765,0.05629691409507923,0.02043369474562135,100.10196485033197,2398,8.0
Jared Goff,00-0033106,Elite Quarterbacks,1,0.6581703910614525,7.279329608938547,0.04189944134078212,0.019553072625698324,93.0535899369646,2864,25.0
Jacoby Brissett,00-0033119,The League Core,0,0.6234390009606148,6.56388088376561,0.03362151777137368,0.01536983669548511,85.0015505356396,1041,9.0
PJ Walker,00-0033275,Struggling & Backups,2,0.5391705069124424,6.474654377880184,0.018433179723502304,0.03686635944700461,65.0729148960281,217,2.0
Nick Mullens,00-0033319,Elite Quarterbacks,1,0.6561181434599156,7.89662447257384,0.04008438818565401,0.04219409282700422,86.2505526999392,474,34.0
Taysom Hill,00-0033357,The League Core,0,0.6509803921568628,7.474509803921569,0.03137254901960784,0.027450980392156862,87.09088853254389,255,4.0
Deshaun Watson,00-0033537,Elite Quarterbacks,1,0.6659420289855073,7.892753623188406,0.05289855072463768,0.020289855072463767,93.44733271016408,1380,24.0
Cooper Rush,00-0033662,The League Core,0,0.5802469135802469,6.487654320987654,0.030864197530864196,0.018518518518518517,80.0411522633745,162,28.0
Mitchell Trubisky,00-0033869,The League Core,0,0.6445454545454545,6.433636363636364,0.03727272727272727,0.025454545454545455,82.34789033870302,1100,22.0
Patrick Mahomes,00-0033873,Elite Quarterbacks,1,0.6658823529411765,7.745546218487395,0.05680672268907563,0.01680672268907563,101.94282113009237,2975,6.0
C.J. Beathard,00-0033936,Elite Quarterbacks,1,0.6346153846153846,7.5673076923076925,0.057692307692307696,0.0,105.72916666666667,104,3.0
Joshua Dobbs,00-0033949,The League Core,0,0.6282973621103117,5.908872901678657,0.03117505995203837,0.023980815347721823,79.46143085531574,417,30.0
Josh Rosen,00-0034343,Struggling & Backups,2,0.5321100917431193,5.201834862385321,0.009174311926605505,0.045871559633027525,52.04510703363915,109,7.0
Mike White,00-0034401,The League Core,0,0.6221498371335505,6.986970684039088,0.026058631921824105,0.03908794788273615,75.39853896103895,307,37.0
Kyle Allen,00-0034577,The League Core,0,0.6196319018404908,6.793456032719837,0.034764826175869123,0.032719836400818,79.98040218132242,489,29.0
Mason Rudolph,00-0034771,The League Core,0,0.6219081272084805,6.236749116607774,0.045936395759717315,0.03180212014134275,81.95671378091873,283,24.0
Lamar Jackson,00-0034796,Elite Quarterbacks,1,0.6503604531410917,7.562306900102986,0.061277033985581875,0.021627188465499485,98.68713506010798,1942,10.0
Baker Mayfield,00-0034855,The League Core,0,0.6158119658119658,7.1209401709401705,0.044444444444444446,0.02564102564102564,86.48385919298323,2340,5.0
Josh Allen,00-0034857,Elite Quarterbacks,1,0.6442477876106195,7.302300884955752,0.05557522123893805,0.02336283185840708,94.69465297243423,2825,23.0
Sam Darnold,00-0034869,The League Core,0,0.6032568467801629,6.58919319022946,0.03256846780162842,0.029607698001480384,80.39972972315952,1351,27.0
David Blough,00-0035040,Struggling & Backups,2,0.5402298850574713,5.655172413793103,0.022988505747126436,0.034482758620689655,63.96072796934865,174,4.0
Jake Browning,00-0035100,Elite Quarterbacks,1,0.7037037037037037,7.967078189300412,0.04938271604938271,0.02880658436213992,98.37962962962963,243,11.0
Kyler Murray,00-0035228,Elite Quarterbacks,1,0.6659212880143113,7.011180679785331,0.04203935599284436,0.020572450805008944,91.83779695474962,2236,27.0
Dwayne Haskins,00-0035232,The League Core,0,0.6013513513513513,6.315315315315315,0.02702702702702703,0.03153153153153153,74.51441551008728,444,40.0
Easton Stick,00-0035282,The League Core,0,0.6379310344827587,6.488505747126437,0.017241379310344827,0.005747126436781609,85.63218390804597,174,6.0
Gardner Minshew,00-0035289,The League Core,0,0.6262626262626263,6.864801864801865,0.04040404040404041,0.01554001554001554,90.54974442766893,1287,1.0
Devlin Hodges,00-0035577,The League Core,0,0.625,6.64375,0.03125,0.05,71.43229166666667,160,44.0
Drew Lock,00-0035704,The League Core,0,0.5929577464788732,6.676056338028169,0.035211267605633804,0.028169014084507043,81.83175687408193,710,25.0
