name,position,debut,last
McTelvin Agim,Defensive Lineman,2020,2023
Bob Agler,Halfback,1948,1949
Jamal Agnew,Wide Receiver,2017,2023
Ray Agnew,Defensive Tackle,1990,2000
Ray Agnew,Fullback,2014,2014
Vince Agnew,Cornerback,2012,2012
Roberto Aguayo,Kicker,2016,2016
Mitchell Agude,Defensive Lineman,2024,2024
Louie Aguiar,Punter,1991,2000
Joe Aguirre,End,1941,1949
C.J. Ah You,Defensive End,2009,2011
Chidi Ahanotu,Defensive End,1993,2004
Dan Ahern,Tackle,1921,1921
Ramiz Ahmed,Kicker,2022,2022
Salvon Ahmed,Running back,2020,2023
Dave Ahrens,Linebacker,1981,1990
Tony Aiello,Wingback,1944,1944
Danny Aiken,Long Snapper,2011,2015
Kamar Aiken,Wide Receiver,2011,2018
Sam Aiken,Wide Receiver,2003,2010
Carl Aikens,Wide Receiver,1987,1987
Walt Aikens,Cornerback,2014,2019
Troy Aikman+,Quarterback,1989,2000
Jim Ailinger,Guard,1924,1924
Charles Aiu,Guard,1976,1978
Victor Aiyewa,Linebacker,2013,2013
Brandon Aiyuk,Wide Receiver,2020,2024
Jay Ajayi,Running back,2015,2019
Seyi Ajirotutu,Wide Receiver,2010,2015
Hakim Akbar,Linebacker,2001,2002
Cam Akers,Running back,2020,2024
David Akers,Kicker,1998,2013
Landen Akers,Wide Receiver,2021,2021
Harold Akin,Tackle,1967,1968
Len Akin,Guard,1942,1942
Alex Akingbulu,Tackle,2023,2023
Freedom Akinmoladun,Defensive End,2019,2021
Al Akins,Halfback,1946,1948
Chris Akins,Defensive Back,1999,2003
Frank Akins,Fullback,1943,1946
Jordan Akins,Tight End,2018,2024
Mike Akiu,Wide Receiver,1985,1986
Shaair,Outside Linebacker,2019,2024
Anthony Alabi,Tackle,2006,2007
Otaro Alaka,Linebacker,2020,2020
Francis,Defensive End,2007,2011
Dick Alban,Defensive Back,1952,1959
Dom Albanese,Blocking Back,1925,1925
Vannie Albanese,Fullback,1937,1938
Tom Alberghini,Guard,1945,1945
Branden Albert,Guard,2008,2016
Frankie Albert,Quarterback,1946,1952
Sergio Albert,Kicker,1974,1974
Trev Alberts,Linebacker,1994,1996
Art Albrecht,Tackle,1942,1944
